html,1
head,2
script,64
meta,13
link,100
title,1
style,12
body,1
noscript,1
iframe,1
div,223
center,1
a,233
span,108
b,1
header,1
img,20
i,27
ul,47
li,215
strong,3
p,19
form,4
fieldset,2
input,16
label,7
button,7
nav,2
picture,14
source,56
h1,1
h2,2
br,4
footer,1
h6,6
g:ratingbadge,2
